case_id,crime_category,ipc_section,case_facts,evidence_strength,number_of_witnesses,accused_prior_record,punishment_years,fine_amount,verdict,case_description
131,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Strong. 2 witnesses were presented in court. Prior criminal record: No.,Strong,2,No,18,37070,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Strong in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
132,Cybercrime,66,The accused was charged with cybercrime under IPC section 66. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: No.,Moderate,5,No,0,0,Acquitted,"This case involves a charge of Cybercrime under IPC section 66. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
133,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Moderate. 1 witnesses were presented in court. Prior criminal record: Yes.,Moderate,1,Yes,8,4917,Convicted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Moderate in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
134,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Strong. 1 witnesses were presented in court. Prior criminal record: Yes.,Strong,1,Yes,10,49405,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Strong in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
135,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: No.,Moderate,5,No,6,10707,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
136,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Moderate. 1 witnesses were presented in court. Prior criminal record: No.,Moderate,1,No,7,18502,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Moderate in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
137,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: Yes.,Moderate,0,Yes,0,0,Acquitted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
138,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Strong. 3 witnesses were presented in court. Prior criminal record: Yes.,Strong,3,Yes,0,38621,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Strong in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
139,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Moderate. 3 witnesses were presented in court. Prior criminal record: No.,Moderate,3,No,0,0,Acquitted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Moderate in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
140,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Weak. 2 witnesses were presented in court. Prior criminal record: No.,Weak,2,No,0,14130,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Weak in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
141,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Weak. 4 witnesses were presented in court. Prior criminal record: Yes.,Weak,4,Yes,5,10777,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Weak in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
142,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: Yes.,Moderate,0,Yes,6,26049,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
143,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Strong. 4 witnesses were presented in court. Prior criminal record: Yes.,Strong,4,Yes,10,25928,Convicted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Strong in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
144,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: No.,Moderate,2,No,0,0,Acquitted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
145,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Strong. 0 witnesses were presented in court. Prior criminal record: Yes.,Strong,0,Yes,8,14617,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Strong in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
146,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: Yes.,Moderate,5,Yes,3,16719,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
147,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Strong. 0 witnesses were presented in court. Prior criminal record: Yes.,Strong,0,Yes,0,27772,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Strong in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
148,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Strong. 4 witnesses were presented in court. Prior criminal record: No.,Strong,4,No,7,3139,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Strong in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
149,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: No.,Moderate,5,No,0,0,Acquitted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
150,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Strong. 1 witnesses were presented in court. Prior criminal record: No.,Strong,1,No,5,44331,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Strong in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
151,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: Yes.,Moderate,0,Yes,4,28087,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
152,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: Yes.,Weak,0,Yes,0,0,Acquitted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
153,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Strong. 4 witnesses were presented in court. Prior criminal record: No.,Strong,4,No,5,9149,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Strong in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
154,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Strong. 2 witnesses were presented in court. Prior criminal record: No.,Strong,2,No,7,33798,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Strong in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
155,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Moderate. 3 witnesses were presented in court. Prior criminal record: Yes.,Moderate,3,Yes,16,3612,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Moderate in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
156,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Strong. 2 witnesses were presented in court. Prior criminal record: No.,Strong,2,No,2,6985,Convicted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Strong in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
157,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Strong. 4 witnesses were presented in court. Prior criminal record: Yes.,Strong,4,Yes,7,18662,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Strong in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
158,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Weak. 1 witnesses were presented in court. Prior criminal record: No.,Weak,1,No,0,0,Acquitted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Weak in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
159,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Weak. 4 witnesses were presented in court. Prior criminal record: No.,Weak,4,No,0,0,Acquitted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Weak in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
160,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: No.,Moderate,2,No,0,0,Acquitted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
161,Cybercrime,66,The accused was charged with cybercrime under IPC section 66. Evidence strength was Strong. 0 witnesses were presented in court. Prior criminal record: Yes.,Strong,0,Yes,3,27977,Convicted,"This case involves a charge of Cybercrime under IPC section 66. The prosecution presented evidence considered Strong in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
162,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: No.,Moderate,5,No,10,3885,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
163,Cybercrime,66,The accused was charged with cybercrime under IPC section 66. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: Yes.,Moderate,2,Yes,0,0,Acquitted,"This case involves a charge of Cybercrime under IPC section 66. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
164,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: No.,Weak,5,No,0,0,Acquitted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
165,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Weak. 4 witnesses were presented in court. Prior criminal record: No.,Weak,4,No,0,0,Acquitted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Weak in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
166,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Weak. 1 witnesses were presented in court. Prior criminal record: No.,Weak,1,No,7,15356,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Weak in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
167,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: Yes.,Weak,0,Yes,7,19049,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
168,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Strong. 3 witnesses were presented in court. Prior criminal record: Yes.,Strong,3,Yes,17,8435,Convicted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Strong in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
169,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: Yes.,Weak,5,Yes,10,47963,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
170,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Strong. 5 witnesses were presented in court. Prior criminal record: No.,Strong,5,No,9,32621,Convicted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Strong in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
171,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Weak. 3 witnesses were presented in court. Prior criminal record: Yes.,Weak,3,Yes,9,13491,Convicted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Weak in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
172,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Strong. 5 witnesses were presented in court. Prior criminal record: Yes.,Strong,5,Yes,8,5575,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Strong in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
173,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: No.,Moderate,2,No,7,24791,Convicted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
174,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Strong. 4 witnesses were presented in court. Prior criminal record: No.,Strong,4,No,5,30264,Convicted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Strong in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
175,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: No.,Moderate,2,No,0,0,Acquitted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
176,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Moderate. 1 witnesses were presented in court. Prior criminal record: Yes.,Moderate,1,Yes,0,0,Acquitted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Moderate in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
177,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: No.,Moderate,0,No,0,0,Acquitted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
178,Drug Possession,21,The accused was charged with drug possession under IPC section 21. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: Yes.,Moderate,5,Yes,9,3426,Convicted,"This case involves a charge of Drug Possession under IPC section 21. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
179,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Strong. 4 witnesses were presented in court. Prior criminal record: No.,Strong,4,No,0,29855,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Strong in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
180,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Strong. 3 witnesses were presented in court. Prior criminal record: Yes.,Strong,3,Yes,2,27868,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Strong in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
181,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Weak. 3 witnesses were presented in court. Prior criminal record: No.,Weak,3,No,0,0,Acquitted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Weak in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
182,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Strong. 3 witnesses were presented in court. Prior criminal record: Yes.,Strong,3,Yes,8,22532,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Strong in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
183,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: No.,Moderate,2,No,16,3242,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
184,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Strong. 5 witnesses were presented in court. Prior criminal record: No.,Strong,5,No,3,49940,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Strong in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
185,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: Yes.,Moderate,0,Yes,0,0,Acquitted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
186,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Strong. 2 witnesses were presented in court. Prior criminal record: Yes.,Strong,2,Yes,0,22258,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Strong in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
187,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: No.,Moderate,2,No,0,0,Acquitted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
188,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Weak. 4 witnesses were presented in court. Prior criminal record: No.,Weak,4,No,1,6736,Convicted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Weak in strength with testimony from 4 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
189,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Strong. 3 witnesses were presented in court. Prior criminal record: Yes.,Strong,3,Yes,4,39217,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Strong in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
190,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Weak. 3 witnesses were presented in court. Prior criminal record: No.,Weak,3,No,0,0,Acquitted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Weak in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
191,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Strong. 0 witnesses were presented in court. Prior criminal record: No.,Strong,0,No,7,45407,Convicted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Strong in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
192,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Weak. 0 witnesses were presented in court. Prior criminal record: No.,Weak,0,No,0,0,Acquitted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Weak in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
193,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: No.,Moderate,5,No,0,0,Acquitted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
194,Corruption,13,The accused was charged with corruption under IPC section 13. Evidence strength was Moderate. 1 witnesses were presented in court. Prior criminal record: No.,Moderate,1,No,0,0,Acquitted,"This case involves a charge of Corruption under IPC section 13. The prosecution presented evidence considered Moderate in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
195,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Weak. 3 witnesses were presented in court. Prior criminal record: No.,Weak,3,No,0,0,Acquitted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Weak in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
196,Kidnapping,363,The accused was charged with kidnapping under IPC section 363. Evidence strength was Weak. 5 witnesses were presented in court. Prior criminal record: No.,Weak,5,No,0,0,Acquitted,"This case involves a charge of Kidnapping under IPC section 363. The prosecution presented evidence considered Weak in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
197,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Strong. 5 witnesses were presented in court. Prior criminal record: Yes.,Strong,5,Yes,25,19756,Convicted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Strong in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
198,Cheating,420,The accused was charged with cheating under IPC section 420. Evidence strength was Strong. 2 witnesses were presented in court. Prior criminal record: Yes.,Strong,2,Yes,7,13460,Convicted,"This case involves a charge of Cheating under IPC section 420. The prosecution presented evidence considered Strong in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
199,Smuggling,135,The accused was charged with smuggling under IPC section 135. Evidence strength was Moderate. 5 witnesses were presented in court. Prior criminal record: Yes.,Moderate,5,Yes,7,7367,Convicted,"This case involves a charge of Smuggling under IPC section 135. The prosecution presented evidence considered Moderate in strength with testimony from 5 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
200,Murder,302,The accused was charged with murder under IPC section 302. Evidence strength was Moderate. 3 witnesses were presented in court. Prior criminal record: Yes.,Moderate,3,Yes,21,48995,Convicted,"This case involves a charge of Murder under IPC section 302. The prosecution presented evidence considered Moderate in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
201,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Weak. 2 witnesses were presented in court. Prior criminal record: No.,Weak,2,No,0,0,Acquitted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Weak in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
202,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Weak. 1 witnesses were presented in court. Prior criminal record: No.,Weak,1,No,0,0,Acquitted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Weak in strength with testimony from 1 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
203,Assault,323,The accused was charged with assault under IPC section 323. Evidence strength was Moderate. 3 witnesses were presented in court. Prior criminal record: No.,Moderate,3,No,0,0,Acquitted,"This case involves a charge of Assault under IPC section 323. The prosecution presented evidence considered Moderate in strength with testimony from 3 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
204,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: Yes.,Moderate,0,Yes,4,28713,Convicted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
205,Sexual Assault,376,The accused was charged with sexual assault under IPC section 376. Evidence strength was Moderate. 0 witnesses were presented in court. Prior criminal record: No.,Moderate,0,No,11,18582,Convicted,"This case involves a charge of Sexual Assault under IPC section 376. The prosecution presented evidence considered Moderate in strength with testimony from 0 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was ultimately convicted by the court."
206,Theft,379,The accused was charged with theft under IPC section 379. Evidence strength was Moderate. 2 witnesses were presented in court. Prior criminal record: No.,Moderate,2,No,0,0,Acquitted,"This case involves a charge of Theft under IPC section 379. The prosecution presented evidence considered Moderate in strength with testimony from 2 witnesses. The accused had no prior criminal record. Based on the evaluation of the facts and evidence, the accused was acquitted due to insufficient evidence."
